Item;Descrição (Item);Subgrupo de itens - Descrição (Sub Grupo)
301;Linum  - 18;PAINEL
302;Niquel - MDF  - 15;PAINEL
303;Branco MDF  - 9;PAINEL
304;Milkshake - MDF  - 6;PAINEL
305;Azul Ardosia  - 18;PAINEL
306;PANNA - MDF  - 15;PAINEL
307;PANNA - MDF  - 18;PAINEL
308;PANNA - MDF  - 6;PAINEL
309;PANNA - MDP  - 15;PAINEL
310;PANNA - MDP  - 18;PAINEL
311;PANNA - MDP  - 25;PAINEL
312;ROSA INFINITO - MDF  - 18;PAINEL
313;PANNA - MDF  - 25;PAINEL
314;ATLANTICA - MDP  - 37;PAINEL
315;BRANCO SUPREMO - MDP  - 37;PAINEL
316;CARVALHO MEL - MDP  - 37;PAINEL
317;CINZA PURO - MDP  - 37;PAINEL
318;FRAPE - MDP  - 37;PAINEL
319;GRAFITO - MDP  - 37;PAINEL
320;LOURO FREIJO - MDP  - 37;PAINEL
321;PAU FERRO - MDP  - 37;PAINEL
322;BRANCO - MDF  - 37;PAINEL
323;AMAZONIA  - MDF  - 37;PAINEL
324;ASTI - MDF  - 37;PAINEL
325;ATLANTICA - MDF  - 37;PAINEL
326;AZUL PETROLEO - MDF  - 37;PAINEL
327;BEIGE - MDF  - 37;PAINEL
328;BIANCO RAVENA - MDF  - 37;PAINEL
329;BRONZE - MDF  - 37;PAINEL
330;CABIUNA NOBRE- MDF  - 37;PAINEL
331;CAMELO - MDF  - 37;PAINEL
332;CANCUN - MDF  - 37;PAINEL
333;CARVALHO LATINO - MDF  - 37;PAINEL
334;CARVALHO NATURAL - MDF  - 37;PAINEL
335;CINZA PURO - MDF  - 37;PAINEL
336;CORAZZI - MDF  - 37;PAINEL
337;CRISTALLO BRANCO DIAMANTE - MDF  - 37;PAINEL
338;CRISTALLO CINZA SAGRADO  - 37;PAINEL
339;CRISTALLO GIANDUIA  - 37;PAINEL
340;CRISTALLO OPALA  - 37;PAINEL
341;CRISTALLO PRETO  - 37;PAINEL
342;DAMASCO  - 37;PAINEL
343;DEVA  - 37;PAINEL
344;EBANO CHESS  - 37;PAINEL
345;FOG  - 37;PAINEL
346;FRAPE - MDF  - 37;PAINEL
347;GLAMOUR  - 37;PAINEL
348;IMBUIA  - 37;PAINEL
349;JALAPAO  - 37;PAINEL
350;JASPE  - 37;PAINEL
351;LINUM  - 37;PAINEL
352;LOURO FREIJO - MDF  - 37;PAINEL
353;MANHATTAN  - 37;PAINEL
354;MARMO  - 37;PAINEL
355;MILKSHAKE  - 37;PAINEL
356;MINT  - 37;PAINEL
357;NIQUEL  - 37;PAINEL
358;NOGUEIRA CAIENA  - 37;PAINEL
359;PANNA  - 37;PAINEL
360;PAU FERRO  - 37;PAINEL
361;PETAR  - 37;PAINEL
362;PETRA  - 37;PAINEL
