Item	Descrição (Item)	Subgrupo de itens - Descrição (Sub Grupo)
10.02.1309	FITA BORDA 50X0.45 PAU FERRO	BORDA
10.02.1310	FITA BORDA 22X1.0MM PETAR	BORDA
10.02.1311	FITA BORDA 29X1.0MM PETAR	BORDA
10.02.1312	FITA BORDA 35X1.0MM PETAR	BORDA
10.02.1313	FITA BORDA 50X0.45 PETAR	BORDA
10.02.1314	FITA BORDA 22X1.0MM ATLANTICA	BORDA
10.02.1315	FITA BORDA 50X0.45 ATLANTICA	BORDA
10.02.1316	FITA BORDA 22X1.0MM BRANCO SUPREMO	BORDA
10.02.1317	FITA BORDA 35X1.0MM BRANCO SUPREMO	BORDA
10.02.1318	FITA BORDA 42X1.0MM BRANCO SUPREMO	BORDA
10.02.1319	FITA BORDA 50X0.45 BRANCO SUPREMO	BORDA
10.02.1320	FITA BORDA 22X1.0MM PAU FERRO	BORDA
10.02.1321	FITA BORDA 29X0.1.0MM PAU FERRO	BORDA
10.02.1322	FITA BORDA 42X1.0MM PAU FERRO	BORDA
10.02.1324	FITA BORDA 42X1.0MM PETAR	BORDA
10.02.1325	FITA BORDA 29X0.1.0MM ATLANTICA	BORDA
10.02.1326	FITA BORDA 35X1.0MM ATLANTICA	BORDA
10.02.1327	FITA BORDA 42X1.0MM ATLANTICA	BORDA
10.02.1328	FITA BORDA 29X0.1.0MM GLAMOUR	BORDA
10.02.1329	FITA BORDA 19X0.45 JALAPAO	BORDA
10.02.1330	FITA BORDA 19X0.45 PETAR	BORDA
10.02.1331	FITA BORDA 19X0.45MM MINT	BORDA
10.02.1332	FITA BORDA 19X0.45 URBI	BORDA
10.02.1333	FITA BORDA 19X1.0MM URBI	BORDA
10.02.1334	FITA BORDA 35X1.0MM URBI	BORDA
10.02.1335	FITA BORDA 35X1.0MM LINUM	BORDA
10.02.1336	FITA BORDA 35X1.0MM CABIUNA NOBRE	BORDA
10.02.1337	FITA BORDA 35X1.0MM CARVALHO LATINO	BORDA
10.02.1338	FITA BORDA 19X1.0MM CARVALHO NATURAL	BORDA
10.02.1339	FITA BORDA 29X1.0MM CARVALHO NATURAL	BORDA
10.02.1340	FITA BORDA 22X1.0MM LINUM	BORDA
10.02.1341	FITA BORDA 42X1.0MM LINUM	BORDA
10.02.1342	FITA BORDA 22X1.0MM CARVALHO LATINO	BORDA
10.02.1343	FITA BORDA 42X1.0MM CARVALHO LATINO	BORDA
10.02.1344	FITA BORDA 19X0.45MM CARVALHO NATURAL	BORDA
10.02.1345	FITA BORDA 50X0.45MM RAPHIA	BORDA
10.02.1346	FITA BORDA 22X1.0MM URBI	BORDA
10.02.1347	FITA BORDA 29X1.0MM URBI	BORDA
